|##|1|2D644E|196459|25.8|95.4|-34|**|
|##|1|2D644E|196400|25.7|95.4|-34|**|
|##|1|2D644E|256477|25.7|95.4|-38|**|
|##|1|2D644E|25646E|25.8|95.2|-33|**|
|##|1|2D644E|1F6461|25.8|95.1|-40|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
|##|1|2D644E|000000|-50.0|-50.0|0|**|
